paper_id,paper_name,total_score,question_count,assign_class,create_time
paper_001,2026年暑期作业,100,25,"24级计算机7班,24级计算机1班,24级计算机2班",2026-06-27 22:41:39
paper_002,2026年暑期作业,100,25,"24级计算机7班,24级计算机1班,24级计算机2班",2026-06-27 22:59:14
